genes
HSPA6
TRBV10-3
TRBV7-2
G0S2
TRBV13
TRBV11-2
TRBV4-1
TRBV11-1
TRBV4-2
TRBV7-3
TRBV12-3
TRBV7-6
TRBV3-1
TRBV12-4
TRBV5-1
TRBV7-9
CCL4
TRBV30
XCL1
TRBV24-1
TRBV20-1
TRBV6-6
TRBV5-5
TRBV14
TRBV2
TRBV28
CCL20
TRBV10-2
TRBV6-1
TRBV18
TRBV5-4
HSPA1A
TRAV38-2DV8
GNLY
TRBV6-5
HSPA1B
CCL4L2
TRBV9
TRBV6-2
TRAV21
TRBV29-1
XCL2
TRBV25-1
TRBV5-6
TRBV12-5
MT1G
CCL3
TRBV19
TRAV3
SERPINH1
TRBV15
TUBA1B
MT1X
TRAV20
TRBV7-7
TRAV12-2
TRAV8-4
TRAV12-3
RRM2
TRBV27
TYMS
NMB
CDC20
TRAV1-1
TRAV14DV4
DNAJB1
MT1E
TRAV19
TRBV21-1
UBE2C
TRBV11-3
STMN1
TNFRSF4
TRBV10-1
TRAV26-2
TRAV27
TRBV16
TRAV29DV5
TRBV6-4
TRAV30
MT2A
TRAV38-1
MKI67
TRAV17
TRAV8-1
HIST1H1B
TRAV12-1
TRAV13-1
LGALS1
ACTB
CCNB2
TRAV22
JUNB
HIST1H4C
TRAV10
TRAV5
IFNG
HLA-DRA
TUBB
TYROBP
PLK1
TRBV23-1
KLRB1
TRAV23DV6
ID3
TRAV1-2
HIST1H3B
SOX4
TOP2A
TNF
MTRNR2L12
TRAV16
GZMB
HLA-DRB1
FOS
TRAV35
PMCH
TRAV9-2
TRAV8-6
TRDC
NUSAP1
TRAV13-2
HMOX1
CCNB1
FTH1
TRAV26-1
DUSP1
TRAV41
VIM
TRGV9
HIST1H3C
JUN
CCNA2
HMGB2
LTB
TRAV8-2
HMGN2
TRDV1
NFKBIA
TK1
TRAV39
ASPM
EGR1
IFIT2
TRAV24
NR4A1
TRGV2
HMMR
GZMK
DLGAP5
HSP90AA1
HIST1H3F
TRAV6
CDK1
FGFBP2
TRAV2
CENPF
IFI27
TRAV36DV7
TRAV34
LMNA
TNFRSF18
TRBV7-4
TRGV8
IL2RA
KRT86
HLA-DQA1
HIST1H1E
ACTG1
TRDV2
TRGV4
ZNF683
GADD45B
HLA-DRB5
TRAV40
KLRC1
FABP5
GZMA
HIST1H3G
H2AFZ
TNFRSF9
TRGV10
TRAV8-3
UHRF1
RMRP
CKS2
TRDV3
CD74
NKG7
MTRNR2L8
PTTG1
RGS1
BIRC5
CDKN1A
CMC1
MYC
TPX2
CDT1
AREG
CDO1
GK
DUSP2
DNAJA4
CD70
HSPH1
TRGV5
GAPDH
GZMH
CCR7
KIR2DL3
DNAJB4
ASF1B
HBB
CDKN3
IER3
PMAIP1
CD69
LAG3
ZWINT
MIR155HG
RASD1
ZFP36
RPS4Y1
AURKB
RGS16
TRAV4
CENPA
FCGR3A
PCNA
PKMYT1
TRAV25
MAL
TRGV7
SLC2A3
CDCA5
HPGD
S100B
RHOB
NOSIP
DUT
GTSE1
SELL
FUT7
HSP90AB1
ATF3
FAM111B
MCM7
PLK2
HSPD1
KIFC1
DDIT4
HILPDA
CAV1
KIR3DL1
MYADM
CD40LG
HIST1H2AG
HJURP
NEFL
TROAP
IFIT3
HIST1H2AI
KIR2DL1
CCL5
HIST1H2BJ
KIR3DL2
SLC4A10
HMGB1
C15orf48
CLSPN
KIR2DL4
TRGV3
IRF8
LGALS3
HIST1H1D
MAPK13
TRBV5-7
S100A8
TNFSF4
CEBPD
FOSB
GNG4
HLA-DPA1
TRAV8-5
AQP3
NPW
IL7R
HIST1H4F
DEPDC1
KIF2C
PHLDA1
CENPU
H2AFX
PFN1
HLA-DPB1
HLA-DQB1
GPR183
KIF15
KIF14
CCR10
CTSL
PPP1R15A
CD83
CRTAM
GINS2
S100A4
STAT1
KIF20A
LEF1
LAIR2
APOBEC3B
ANXA1
CHAC1
HOPX
NBAS
PRF1
KLRC2
ACP5
MRPL18
PTGR1
DHFR
CKAP2L
LRRC32
PTMA
ADGRG1
OSM
HIST1H3H
LAYN
NCR3
CDCA8
CENPW
MS4A6A
TSC22D1
IER2
KLRD1
TRBC1
TUBA4A
DUSP4
NR4A2
RGCC
ANKRD37
TRBV12-2
PASK
SMC4
CDCA2
CENPE
PHLDA2
HSPA8
DKK3
KIF23
IL2
HIST1H1C
HIST1H2AL
TRBV5-3
CA2
IGFBP7
CDCA3
HIST1H2BM
CENPM
FCER1G
HIST1H3I
COTL1
RAMP1
BHLHE40
FEN1
CD38
CRIP1
INSIG1
DIAPH3
TUBB4B
CDC6
SESN3
LMNB1
HIST1H2AH
CEP55
CLIC3
SPC25
BTLA
LRRN3
SAT1
KLRC3
ZNF295-AS1
CD79A
FOXP3
IL21
HMGB3
CCR4
ID1
CCL18
HIST1H2BH
POU2AF1
UBC
UCP3
ZFAND2A
CCR6
CXCR6
UBB
KIF11
DOK5
RGS2
GLUL
EPAS1
ANXA2
MCM5
H2AFV
H1F0
LY6E
BEX1
LINC01480
ACTRT3
CST7
SGK1
MCM4
MCEMP1
ID2
NCAPG
CRIP2
GADD45G
SNAP25
ZFP36L2
EGLN3
CKS1B
IL32
SLC25A5
KLRF1
PBK
TXN
CHST7
IGHM
IL11
FTL
SPON2
TXNIP
MAFB
AURKA
FXYD2
MCM3
S100A11
THBS1
PAGE5
DTL
UCP2
PTMS
KLF2
MX1
S100A9
CAPG
CCR8
TIMP1
CTLA4
CNKSR3
